Block,Level,Unit,Building_name,House_number,Street_name,Township,Postcode,Locality_name,State,,
G,,,RIANA GREEN CONDO (BLOK E HINGGA M),,JALAN TROPICANA UTARA,TROPICANA,47410,PETALING JAYA,SELANGOR,,
J,,,RIANA GREEN CONDO (BLOK E HINGGA M),,JALAN TROPICANA UTARA,TROPICANA,47410,PETALING JAYA,SELANGOR,,
B,,,TROPICANA GRANDE CONDOMINIUMS,3,PERSIARAN TROPICANA,TROPICANA,47410,PETALING JAYA,SELANGOR,,
,,,,7,JALAN PJU 3/12A,TROPICANA INDAH,47410,PETALING JAYA,SELANGOR,,
,,,SUNWAY PYRAMID,3,JALAN PJS 11/15,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
,,,SUNWAY PYRAMID HOTEL,,PERSIARAN LAGOON,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
D,,305,SUNWAY COURT APARTMENT,,JALAN PJS 7/13,"PJS 7,9,11 (BANDAR SUNWAY)",47500,SUBANG JAYA,SELANGOR,,
,,,,302,JALAN PJS 7/15,PJS 7,47100,PUCHONG,SELANGOR,,
,,,,27,JALAN PJS 7/9B,BANDAR SUNWAY,47100,PUCHONG,SELANGOR,,
B5,7,10,SUNWAY LAGOON PERDANA APARTMENT,,JALAN PJS 9/1,BANDAR SUNWAY,46150,PETALING JAYA,SELANGOR,,
5,4,9,SUNWAY LAGOON PERDANA APARTMENT,,JALAN PJS 9/1,BANDAR SUNWAY,46150,PETALING JAYA,SELANGOR,,
B5,9,18,LAGOON PERDANA APARTMENT,18,JALAN PJS 9/1,BANDAR SUNWAY,46150,PETALING JAYA,SELANGOR,,
1,9,5,SUNWAY LAGOON PERDANA APARTMENT,,JALAN PJS 9/1,BANDAR SUNWAY,46150,PETALING JAYA,SELANGOR,,
,,,,35,JALAN PJS 9/4,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
,,,,16,LORONG PJS 7/15G,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
,,,SUNWAY RESORT HOTEL & SPA,LOT 8,PERSIARAN LAGOON,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
T2,L1,D,BOULEVARD SUBANG CONDOMINIUM,,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,50,PERSIARAN WANGSA BAIDURI 1,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
E1,20,2,1 BUKIT UTAMA CONDOMINIUM,,CHANGKAT BUKIT UTAMA,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
E1,9,3,1 BUKIT UTAMA CONDOMINIUM,3,CHANGKAT BUKIT UTAMA,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
,,,,41,JALAN BU 10/9,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
,,,,25,JALAN BU 11/11,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
,,,,8,JALAN BU 12/6,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
,,,,6,JALAN BU 3/1,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
,,,,9,JALAN BU 3/3,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
,,,,56,JALAN BU 6/13,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
,,,,48,JALAN BU 6/3,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
